ValueSet;IVR Code;IVR Display (DE);SNOMED CT Code;SNOMED CT Display (EN);SNOMED CT Display (DE);Mapping Type;Notes
IVR Symptom;;Bleeding;131148009;Bleeding;Blutung;Already SNOMED;
IVR Symptom;;Diarrhea;62315008;Diarrhea;Durchfall;Already SNOMED;
IVR Symptom;;Vomiting;422400008;Vomiting;Erbrechen;Already SNOMED;
IVR Symptom;;Fever;386661006;Fever;Fieber;Already SNOMED;
IVR Symptom;;Tachycardia;3424008;Tachycardia;Tachykardie;Already SNOMED;
IVR Symptom;;Pruritus;418363000;Itching;Juckreiz;Already SNOMED;
IVR Symptom;;Seizure;91175000;Seizure;Krampfanfall;Already SNOMED;
IVR Symptom;;Paralysis;44695005;Paralysis;Lähmung;Already SNOMED;
IVR Symptom;;Palpitations;80313002;Palpitations;Herzklopfen;Already SNOMED;
IVR Symptom;;Abdominal pain;21522001;Abdominal pain;Bauchschmerzen;Already SNOMED;
IVR Symptom;;Chest pain;29857009;Chest pain;Brustschmerzen;Already SNOMED;
IVR Symptom;;Throat pain;162397003;Throat pain;Halsschmerzen;Already SNOMED;
IVR Symptom;;Headache;25064002;Headache;Kopfschmerzen;Already SNOMED;
IVR Symptom;;Ear pain;301354004;Ear pain;Ohrenschmerzen;Already SNOMED;
IVR Symptom;;Backache;161891005;Backache;Rückenschmerzen;Already SNOMED;
IVR Symptom;;Toothache;27355003;Toothache;Zahnschmerzen;Already SNOMED;
IVR Symptom;;Vertigo;399153001;Vertigo;Schwindel;Already SNOMED;
IVR Symptom;;Syncope;271594007;Syncope;Synkope;Already SNOMED;
IVR Symptom;;Labor pain;247412007;Labor pain;Wehen;Already SNOMED;
IVR Symptom;;Nausea;422587007;Nausea;Übelkeit;Already SNOMED;
IVR Symptom;;Pain;22253000;Pain;Schmerzen;Already SNOMED;
IVR Diagnosis Type;;Differential diagnosis;47965005;Differential diagnosis;Differentialdiagnose;Already SNOMED;
IVR Diagnosis Type;;Established diagnosis;14657009;Established diagnosis;Diagnose;Already SNOMED;
IVR Diagnosis Type;;Probable diagnosis;2931005;Probable diagnosis;Verdachtsdiagnose;Already SNOMED;
IVR Diagnosis Type;;Working diagnosis;5558000;Working diagnosis;Arbeitsdiagnose;Already SNOMED;
IVR Findings Airway;;No pathologic finding;23875004;No pathologic finding;Atemwege frei;Already SNOMED;
IVR Findings Airway;;Obstructed;263821009;Obstructed;Obstruiert;Already SNOMED;
IVR Findings Airway;;Pulmonary aspiration;68052005;Pulmonary aspiration;Aspiration;Already SNOMED;
IVR Findings Airway;;Intubation;52765003;Intubation;Intubation;Already SNOMED;
IVR Findings Airway;;Tracheostomy;48387007;Tracheostomy;Tracheostomie;Already SNOMED;
IVR Findings Airway;;Expiratory stridor;301287002;Expiratory stridor;Stridor exspiratorisch;Already SNOMED;
IVR Findings Airway;;Inspiratory stridor;58596002;Inspiratory stridor;Stridor inspiratorisch;Already SNOMED;
IVR Findings Airway;;Normal;17621005;Normal;Unauffällig;Already SNOMED;
IVR Pretreatment;1000142;First responder;429972003;First responder;First responder;Direct;
IVR Pretreatment;1000084;Laie;223366009;Non-professional;Laie;Direct;
IVR Pretreatment;;Healthcare professional;223366009;Healthcare professional;Gesundheitsfachperson;Already SNOMED;
IVR Pretreatment;;None;260413007;None;Keine Vorbehandlung;Already SNOMED;
IVR Pretreatment Type;;Dispensing medication;373784005;Dispensing medication;Medikation;Already SNOMED;
IVR Pretreatment Type;;None;260413007;None;Keine;Already SNOMED;
IVR Pretreatment Type;;First aid;386308007;First aid;Erste Hilfe;Already SNOMED;
IVR Pretreatment Type;;Ventilation assistance;266700009;Assisted breathing;Beatmungshilfe;Already SNOMED;
IVR Pretreatment Type;;CPR;89666000;Cardiopulmonary resuscitation;Reanimation;Already SNOMED;
IVR Pretreatment Type;;Defibrillator;19257004;Defibrillator;Defibrillator/AED;Already SNOMED;
IVR Pretreatment Type;;Other;74964007;Other;Andere;Already SNOMED;
IVR Procedure Airway Type;;Intubation;52765003;Intubation;Intubation;Already SNOMED;
IVR Procedure Airway Type;;Airway suctioning;230040009;Airway suctioning;Absaugen Atemwege;Already SNOMED;
IVR Procedure Airway Type;;Maintaining airway clearance;710971000;Maintaining airway clearance;Freimachen Atemwege;Already SNOMED;
IVR Procedure Airway Type;;Jaw thrust;232666000;Jaw thrust;Esmarch-Handgriff;Already SNOMED;
IVR Procedure Airway Type;;Inhalation therapy device;706177004;Inhalation therapy device;Inhalationsset;Already SNOMED;
IVR Emergency Doctor System;1000004;Stationär Rettungsdienst;386426000;Patient transport;Patiententransport;Direct;
IVR Emergency Doctor System;1000005;Abholung durch Rettungsdienst;386426000;Patient transport;Patiententransport;Direct;
IVR Emergency Doctor System;1000006;Rendezvous;386426000;Patient transport;Patiententransport;Direct;
IVR Transport Disinfection;1000124;Vernebelung H2O2;373784005;Disinfection;Desinfektion;Direct;
IVR Transport Disinfection;1000125;Scheuer-Wisch H2O2;373784005;Disinfection;Desinfektion;Direct;
IVR Transport Disinfection;;Other;74964007;Other;Andere;Already SNOMED;
IVR Yes/No/Unknown;;Yes;373066001;Yes;Ja;Already SNOMED;
IVR Yes/No/Unknown;;No;373067005;No;Nein;Already SNOMED;
IVR Yes/No/Unknown;;Unknown;261665006;Unknown;Unbekannt;Already SNOMED;
